,points,province,variety,price
567,4,California,Cabernet Sauvignon,75
568,2,New South Wales,Chardonnay,13
569,3,California,Red Blend,50
573,3,Sicily & Sardinia,Red Blend,40
577,4,California,Cabernet Sauvignon,85
579,1,California,Chardonnay,7
585,3,Washington,Sauvignon Blanc,10
589,2,California,Pinot Noir,35
599,2,Nelson,Chardonnay,17
600,2,Virginia,Chardonnay,18
601,2,California,Cabernet Sauvignon,14
602,1,Catalonia,Red Blend,22
603,3,Marlborough,Chardonnay,15
604,4,Franschhoek,Cabernet Sauvignon,46
606,3,California,Sauvignon Blanc,13
610,3,Oregon,Pinot Noir,35
615,3,Oregon,Pinot Noir,37
619,3,California,Cabernet Sauvignon,65
620,3,California,Cabernet Sauvignon,100
621,2,Oregon,Pinot Noir,45
628,3,Marlborough,Sauvignon Blanc,24
629,3,California,Chardonnay,50
634,3,Washington,Red Blend,35
635,3,Oregon,Pinot Noir,100
638,2,Wachau,Chardonnay,30
639,2,California,Pinot Noir,35
645,2,California,Sauvignon Blanc,18
650,1,California,Red Blend,20
651,2,Oregon,Pinot Noir,19
663,3,Tuscany,Red Blend,45
665,3,South Australia,Cabernet Sauvignon,17
667,2,Washington,Red Blend,20
669,3,South Australia,Cabernet Sauvignon,22
670,3,California,Cabernet Sauvignon,80
673,2,California,Sauvignon Blanc,21
674,2,Burgundy,Pinot Noir,29
679,2,California,Cabernet Sauvignon,55
682,3,Burgundy,Pinot Noir,68
683,2,Texas,Sauvignon Blanc,8
686,2,California,Pinot Noir,30
687,2,California,Chardonnay,23
692,3,Sicily & Sardinia,Red Blend,22
694,2,Burgundy,Chardonnay,25
700,2,California,Pinot Noir,42
702,1,California,Chardonnay,15
703,4,California,Pinot Noir,54
705,3,Washington,Red Blend,45
712,2,Oregon,Pinot Noir,35
713,3,Oregon,Chardonnay,35
714,3,Tuscany,Red Blend,16
719,2,Tuscany,Red Blend,19
720,2,California,Chardonnay,13
721,2,California,Pinot Noir,23
725,2,Burgundy,Pinot Noir,30
726,3,California,Cabernet Sauvignon,55
728,3,Oregon,Pinot Noir,39
731,2,Tuscany,Red Blend,17
732,4,Tuscany,Red Blend,56
735,3,Aconcagua Costa,Sauvignon Blanc,22
739,3,Greece,Red Blend,43
741,4,California,Cabernet Sauvignon,42
743,1,California,Sauvignon Blanc,15
747,3,Tuscany,Red Blend,25
748,2,California,Cabernet Sauvignon,60
749,4,Champagne,Chardonnay,150
750,4,Tuscany,Red Blend,50
752,3,South Australia,Chardonnay,15
761,4,California,Pinot Noir,45
762,2,California,Red Blend,30
763,3,Burgundy,Pinot Noir,32
768,2,Oregon,Pinot Noir,21
769,2,Washington,Chardonnay,25
771,2,California,Red Blend,10
773,1,California,Red Blend,34
776,2,Constantia,Sauvignon Blanc,30
785,3,Washington,Red Blend,30
788,3,Awatere Valley,Sauvignon Blanc,20
792,2,Northern Spain,Red Blend,11
798,2,Washington,Cabernet Sauvignon,20
799,4,Burgundy,Chardonnay,62
807,1,Mendoza Province,Sauvignon Blanc,6
809,3,Stellenbosch,Chardonnay,21
815,3,California,Sauvignon Blanc,23
816,2,California,Pinot Noir,25
821,3,Marlborough,Sauvignon Blanc,26
822,3,Western Cape,Red Blend,25
823,1,Maule Valley,Sauvignon Blanc,9
830,3,California,Cabernet Sauvignon,150
831,4,Tuscany,Red Blend,30
832,4,California,Cabernet Sauvignon,95
835,2,California,Pinot Noir,48
839,3,Tuscany,Cabernet Sauvignon,50
840,2,California,Cabernet Sauvignon,35
842,3,California,Pinot Noir,32
843,3,California,Chardonnay,22
847,3,Oregon,Sauvignon Blanc,20
848,2,Omaka Valley,Pinot Noir,36
850,4,Tuscany,Red Blend,25
851,1,California,Pinot Noir,22
852,1,Casablanca Valley,Chardonnay,11
855,3,Burgundy,Chardonnay,25
859,1,Mendoza Province,Cabernet Sauvignon,15
860,3,Washington,Red Blend,36
861,2,Tuscany,Red Blend,60
870,2,California,Pinot Noir,57
880,3,California,Pinot Noir,55
883,2,Australia Other,Chardonnay,7
886,3,Catalonia,Red Blend,24
889,2,Burgundy,Chardonnay,27
893,4,Burgundy,Chardonnay,100
895,4,Oregon,Pinot Noir,42
896,1,California,Sauvignon Blanc,18
897,4,Tuscany,Red Blend,45
899,2,Marlborough,Sauvignon Blanc,15
912,4,California,Chardonnay,50
914,3,California,Red Blend,18
916,4,Burgundy,Chardonnay,90
917,1,California,Chardonnay,35
919,2,California,Chardonnay,35
920,4,California,Chardonnay,38
925,2,California,Sauvignon Blanc,28
927,2,California,Sauvignon Blanc,20
930,3,Oregon,Pinot Noir,25
933,4,California,Cabernet Sauvignon,75
934,2,California,Chardonnay,14
946,4,California,Cabernet Sauvignon,25
951,4,California,Cabernet Sauvignon,105
954,2,Western Australia,Chardonnay,25
956,2,California,Pinot Noir,18
957,2,Loire Valley,Pinot Noir,30
965,2,California,Chardonnay,11
966,2,Oregon,Pinot Noir,38
968,3,Oregon,Pinot Noir,50
969,2,California,Pinot Noir,60
970,2,Bío Bío Valley,Pinot Noir,13
971,2,California,Chardonnay,25
976,3,Washington,Cabernet Sauvignon,16
977,2,Washington,Chardonnay,15
979,2,California,Chardonnay,11
987,3,Washington,Cabernet Sauvignon,27
990,4,California,Pinot Noir,70
991,2,Oregon,Pinot Noir,18
1007,3,Sicily & Sardinia,Red Blend,39
1008,2,California,Pinot Noir,13
1012,2,Hawke's Bay,Chardonnay,20
1022,2,California,Pinot Noir,42
1025,3,Tuscany,Red Blend,25
1030,3,California,Chardonnay,35
1033,3,Marlborough,Sauvignon Blanc,16
1034,4,California,Pinot Noir,47
1036,2,California,Cabernet Sauvignon,8
1037,3,Oregon,Cabernet Sauvignon,27
1042,2,Mendoza Province,Chardonnay,12
1049,3,Burgundy,Pinot Noir,114
1052,4,California,Chardonnay,85
1053,4,Loire Valley,Sauvignon Blanc,61
1056,2,California,Sauvignon Blanc,22
1057,3,Crete,Red Blend,50
1058,2,Mendoza Province,Chardonnay,9
1059,5,California,Pinot Noir,78
1061,3,California,Chardonnay,32
1063,2,California,Sauvignon Blanc,35
1067,2,Casablanca Valley,Sauvignon Blanc,16
1068,2,Mendoza Province,Cabernet Sauvignon,13
1070,3,Washington,Cabernet Sauvignon,52
1071,1,California,Chardonnay,20
1073,2,Oregon,Pinot Noir,20
1074,3,Washington,Red Blend,18
1076,3,California,Pinot Noir,60
1077,1,California,Sauvignon Blanc,37
1078,3,Washington,Red Blend,45
1082,3,Burgundy,Chardonnay,50
1083,4,Oregon,Chardonnay,30
1085,2,California,Chardonnay,32
1087,3,Aconcagua Valley,Cabernet Sauvignon,15
1088,4,California,Chardonnay,50
1089,3,California,Red Blend,32
1090,2,California,Cabernet Sauvignon,32
1091,2,Oregon,Chardonnay,18
1098,4,California,Cabernet Sauvignon,60
1099,3,Burgundy,Chardonnay,40
1100,2,California,Pinot Noir,30
1101,4,California,Pinot Noir,57
1103,2,Washington,Red Blend,32
1105,2,Tuscany,Red Blend,23
1107,2,Canterbury,Pinot Noir,18
1108,3,California,Pinot Noir,40
1111,2,California,Chardonnay,19
1112,2,California,Pinot Noir,20
1118,2,California,Cabernet Sauvignon,34
1120,2,California,Pinot Noir,28
1123,2,California,Pinot Noir,50
1127,3,California,Red Blend,35
1128,4,California,Pinot Noir,18
1129,4,Oregon,Pinot Noir,65
1131,4,South Australia,Cabernet Sauvignon,38
1132,1,California,Red Blend,16
1133,2,California,Sauvignon Blanc,10
1134,2,California,Chardonnay,15
1136,2,California,Cabernet Sauvignon,10
1137,2,Juanico,Red Blend,50
1141,3,Tuscany,Red Blend,36
1144,3,California,Chardonnay,30
1152,4,California,Pinot Noir,60
1154,4,California,Pinot Noir,45
1155,4,California,Cabernet Sauvignon,100
1156,2,California,Cabernet Sauvignon,8
1157,1,California,Cabernet Sauvignon,75
1160,3,Oregon,Pinot Noir,41
1163,2,Mendoza Province,Cabernet Sauvignon,15
1167,3,Oregon,Pinot Noir,35
1168,2,California,Chardonnay,16
1170,3,Loire Valley,Sauvignon Blanc,22
1179,3,California,Cabernet Sauvignon,40
1180,2,California,Chardonnay,36
1182,2,Alsace,Pinot Noir,26
1183,3,California,Pinot Noir,78
1185,4,California,Chardonnay,65
1187,4,California,Cabernet Sauvignon,75
1188,2,California,Pinot Noir,25
1191,3,Washington,Cabernet Sauvignon,40
1192,2,California,Red Blend,10
1195,1,Languedoc-Roussillon,Pinot Noir,12
1196,2,Tuscany,Red Blend,25
1198,2,Washington,Red Blend,13
1203,3,Western Australia,Cabernet Sauvignon,30
1204,2,California,Pinot Noir,32
1205,3,Burgundy,Pinot Noir,140
1209,4,Burgundy,Pinot Noir,225
1210,2,Central Italy,Red Blend,14
1214,2,California,Pinot Noir,30
1216,3,Northern Spain,Red Blend,24
1218,3,Tuscany,Red Blend,15
1223,2,Washington,Cabernet Sauvignon,30
1224,2,California,Pinot Noir,40
1225,3,California,Chardonnay,50
1227,3,Oregon,Pinot Noir,50
1229,3,California,Chardonnay,45
1233,2,California,Cabernet Sauvignon,48
1236,2,California,Cabernet Sauvignon,40
1242,2,Northern Spain,Red Blend,22
1243,2,Idaho,Cabernet Sauvignon,20
1254,2,California,Pinot Noir,30
1258,3,California,Cabernet Sauvignon,70
1265,2,Tuscany,Sauvignon Blanc,13
1266,3,California,Cabernet Sauvignon,50
1268,4,Washington,Cabernet Sauvignon,40
1278,3,California,Pinot Noir,42
1284,3,California,Chardonnay,35
1287,3,California,Cabernet Sauvignon,30
1289,4,California,Pinot Noir,58
1292,3,Marlborough,Chardonnay,24
1293,3,Washington,Cabernet Sauvignon,30
1296,3,Catalonia,Red Blend,33
1297,2,Alsace,Pinot Noir,44
1300,4,California,Pinot Noir,38
1302,2,Washington,Cabernet Sauvignon,18
1320,4,California,Chardonnay,39
1321,2,Northeastern Italy,Chardonnay,14
1323,4,Washington,Chardonnay,32
1324,2,California,Cabernet Sauvignon,20
1330,2,Champagne,Pinot Noir,61
1331,2,Colchagua Valley,Cabernet Sauvignon,8
1332,2,California,Cabernet Sauvignon,40
1342,3,California,Pinot Noir,30
1349,3,Casablanca Valley,Chardonnay,37
1350,3,Casablanca Valley,Chardonnay,17
1352,1,California,Chardonnay,20
1354,2,Colchagua Valley,Pinot Noir,13
1355,1,Casablanca Valley,Pinot Noir,13
1357,3,Oregon,Pinot Noir,38
1358,2,California,Cabernet Sauvignon,38
1363,3,California,Pinot Noir,30
1368,3,Martinborough,Pinot Noir,46
1370,2,New York,Pinot Noir,30
1372,3,California,Chardonnay,35
1376,2,Negev Hills,Sauvignon Blanc,24
1378,1,Neszmély,Red Blend,9
1379,3,California,Pinot Noir,39
1381,4,California,Cabernet Sauvignon,125
1383,2,California,Cabernet Sauvignon,25
1384,2,Washington,Cabernet Sauvignon,28
1392,2,Burgundy,Chardonnay,33
1396,2,Australia Other,Cabernet Sauvignon,10
1398,4,California,Cabernet Sauvignon,125
1399,2,Mendoza Province,Pinot Noir,64
1404,3,Oregon,Chardonnay,18
1406,2,Virginia,Chardonnay,22
1407,3,California,Cabernet Sauvignon,54
1411,4,Burgundy,Chardonnay,97
1412,2,Stellenbosch,Sauvignon Blanc,12
1415,2,Central Valley,Sauvignon Blanc,8
1419,4,California,Chardonnay,40
1420,2,California,Cabernet Sauvignon,22
1432,3,California,Cabernet Sauvignon,20
1435,4,California,Chardonnay,25
1436,2,California,Cabernet Sauvignon,10
1438,2,California,Pinot Noir,20
1439,2,California,Pinot Noir,20
1446,3,Oregon,Pinot Noir,75
1448,3,California,Pinot Noir,56
1449,2,New York,Chardonnay,25
1450,4,California,Cabernet Sauvignon,58
1454,2,Mendoza Province,Cabernet Sauvignon,10
1455,3,California,Chardonnay,45
1459,2,Languedoc-Roussillon,Chardonnay,13
1462,4,Burgundy,Chardonnay,80
1466,2,California,Pinot Noir,30
1476,1,Mendoza Province,Sauvignon Blanc,10
1477,3,California,Cabernet Sauvignon,13
1480,2,California,Cabernet Sauvignon,10
1481,1,Mendoza Province,Cabernet Sauvignon,10
1482,2,California,Chardonnay,20
1483,3,Burgundy,Chardonnay,20
1485,4,California,Pinot Noir,54
1489,2,California,Chardonnay,8
1492,3,California,Chardonnay,32
1495,4,Burgundy,Pinot Noir,113
1496,3,Victoria,Pinot Noir,20
1501,2,Marlborough,Pinot Noir,27
1506,3,Burgundy,Chardonnay,38
1509,2,California,Cabernet Sauvignon,15
1512,2,California,Cabernet Sauvignon,18
1513,2,Mendoza Province,Cabernet Sauvignon,12
1515,2,Western Cape,Cabernet Sauvignon,20
1516,3,Catalonia,Cabernet Sauvignon,49
1522,2,Durbanville,Sauvignon Blanc,12
1527,4,California,Pinot Noir,52
1528,2,Mendoza Province,Chardonnay,13
1529,3,California,Sauvignon Blanc,18
1531,3,California,Red Blend,25
1533,4,Burgundy,Chardonnay,65
1537,4,Oregon,Pinot Noir,62
1539,3,California,Cabernet Sauvignon,70
1540,1,California,Sauvignon Blanc,15
1550,4,Oregon,Chardonnay,65
1551,4,California,Pinot Noir,60
1553,1,Northern Spain,Sauvignon Blanc,10
1556,2,California,Chardonnay,10
1557,4,Loire Valley,Sauvignon Blanc,40
1560,3,California,Pinot Noir,37
1561,1,Northern Spain,Red Blend,13
1562,3,Central Italy,Red Blend,23
1565,2,Oregon,Pinot Noir,22
1566,2,East Coast,Chardonnay,13
1568,2,Languedoc-Roussillon,Chardonnay,10
1569,3,Washington,Red Blend,35
1570,3,California,Cabernet Sauvignon,35
1571,1,California,Cabernet Sauvignon,11
1573,3,Washington,Red Blend,13
1574,2,Cachapoal Valley,Sauvignon Blanc,7
1575,1,Washington,Pinot Noir,11
1577,3,California,Chardonnay,25
1578,2,Casablanca Valley,Sauvignon Blanc,10
1579,4,California,Chardonnay,42
1584,3,Languedoc-Roussillon,Red Blend,25
1585,2,Victoria,Chardonnay,17
1586,2,California,Pinot Noir,40
1589,3,California,Pinot Noir,40
1595,2,California,Red Blend,13
1596,3,Central Italy,Red Blend,68
1599,2,Burgundy,Pinot Noir,40
1601,3,Other,Red Blend,100
1602,3,Central Italy,Cabernet Sauvignon,24
1605,1,California,Cabernet Sauvignon,21
1606,2,California,Pinot Noir,60
1608,4,California,Pinot Noir,30
1609,3,Marlborough,Chardonnay,37
1614,2,Central Italy,Red Blend,22
1616,3,Casablanca Valley,Chardonnay,22
1620,2,California,Cabernet Sauvignon,25
1626,2,California,Chardonnay,32
1627,4,Burgundy,Chardonnay,70
1628,3,Champagne,Pinot Noir,52
1632,2,Central Valley,Sauvignon Blanc,7
1633,2,Southern Italy,Red Blend,17
1634,1,California,Sauvignon Blanc,18
1636,3,Burgundy,Chardonnay,80
1640,2,Maipo Valley,Cabernet Sauvignon,10
1641,3,California,Pinot Noir,38
1642,2,Galilee,Chardonnay,16
1645,3,California,Sauvignon Blanc,40
1647,3,California,Cabernet Sauvignon,50
1648,2,Washington,Cabernet Sauvignon,28
1652,2,Burgenland,Sauvignon Blanc,25
1653,3,Burgundy,Chardonnay,31
1654,2,California,Sauvignon Blanc,22
1656,3,California,Pinot Noir,45
1660,3,Niederösterreich,Pinot Noir,40
1663,2,California,Chardonnay,26
1664,4,California,Cabernet Sauvignon,75
1665,3,Oregon,Pinot Noir,42
1669,2,California,Pinot Noir,15
1672,3,Halkidiki,Red Blend,15
1676,2,California,Chardonnay,30
1677,3,California,Cabernet Sauvignon,95
1679,2,California,Red Blend,9
1682,1,California,Sauvignon Blanc,22
1683,2,Sicily & Sardinia,Chardonnay,9
1684,1,Mendoza Province,Sauvignon Blanc,11
1686,4,California,Cabernet Sauvignon,60
1687,2,Casablanca Valley,Chardonnay,10
1691,2,California,Chardonnay,38
1693,2,California,Chardonnay,35
1694,3,South Australia,Cabernet Sauvignon,11
1699,1,Oregon,Pinot Noir,28
1701,2,Stellenbosch,Chardonnay,21
1703,2,California,Pinot Noir,22
1704,2,California,Chardonnay,19
1705,3,Pfalz,Red Blend,28
1709,2,California,Chardonnay,30
1711,3,Bío Bío Valley,Chardonnay,13
1714,3,California,Chardonnay,33
1717,4,California,Pinot Noir,64
1721,4,Burgundy,Chardonnay,110
1722,4,Other,Pinot Noir,125
1723,4,California,Pinot Noir,49
1724,2,Hawke's Bay,Sauvignon Blanc,18
1727,3,Washington,Cabernet Sauvignon,35
1728,4,California,Pinot Noir,90
1731,4,Oregon,Pinot Noir,45
1733,2,Burgundy,Pinot Noir,20
1737,3,Central Italy,Red Blend,30
1739,2,California,Red Blend,14
1742,3,Lombardy,Chardonnay,22
1749,3,Burgundy,Pinot Noir,130
1751,2,Oregon,Pinot Noir,35
1753,4,California,Pinot Noir,60
1754,4,Oregon,Chardonnay,38
1756,1,Codru Region,Red Blend,9
1757,2,Casablanca Valley,Pinot Noir,13
1762,2,California,Cabernet Sauvignon,75
1766,1,California,Red Blend,15
1767,3,Burgundy,Pinot Noir,118
1773,3,Victoria,Cabernet Sauvignon,51
1774,2,Central Italy,Sauvignon Blanc,15
1777,2,California,Chardonnay,45
1780,3,California,Pinot Noir,35
1785,2,Loire Valley,Pinot Noir,16
1792,3,Southern Italy,Red Blend,15
1798,2,California,Chardonnay,15
1803,3,Galilee,Chardonnay,20
1804,2,Burgundy,Chardonnay,29
1808,1,Marlborough,Pinot Noir,24
1813,2,California,Pinot Noir,30
1816,2,Tuscany,Red Blend,10
1825,3,Oregon,Pinot Noir,48
1828,2,California,Red Blend,25
1832,2,Western Cape,Sauvignon Blanc,9
1837,4,Washington,Red Blend,120
1839,2,Champagne,Chardonnay,70
1840,2,Washington,Cabernet Sauvignon,35
1845,1,Sicily & Sardinia,Red Blend,18
1848,3,South Australia,Cabernet Sauvignon,16
1850,2,California,Cabernet Sauvignon,55
1851,4,Washington,Red Blend,75
1853,4,South Australia,Cabernet Sauvignon,60
1856,4,Washington,Cabernet Sauvignon,30
1857,2,California,Pinot Noir,26
1859,2,South Australia,Chardonnay,18
1863,2,California,Chardonnay,18
1864,3,Catalonia,Red Blend,20
1868,2,New York,Chardonnay,12
1873,4,California,Pinot Noir,42
1881,2,Western Cape,Sauvignon Blanc,8
1883,2,California,Pinot Noir,34
1890,3,British Columbia,Chardonnay,17
1891,2,Colchagua Valley,Red Blend,15
1894,3,Tuscany,Red Blend,35
1895,2,Marlborough,Pinot Noir,18
1897,4,Oregon,Chardonnay,27
1898,2,New York,Pinot Noir,40
1900,2,Burgundy,Chardonnay,60
1910,2,California,Pinot Noir,54
1913,2,New York,Cabernet Sauvignon,26
1914,3,San Antonio,Chardonnay,26
1920,5,California,Pinot Noir,100
1934,4,California,Chardonnay,40
1938,3,South Australia,Red Blend,15
1940,2,California,Pinot Noir,48
1941,3,Burgundy,Pinot Noir,23
1942,3,New South Wales,Chardonnay,40
1943,2,Washington,Red Blend,20
1944,4,Oregon,Cabernet Sauvignon,45
1950,4,California,Pinot Noir,44
1951,2,Burgundy,Chardonnay,17
1953,3,Stellenbosch,Chardonnay,27
1957,2,California,Red Blend,10
1958,3,Marlborough,Chardonnay,29
1962,2,California,Chardonnay,7
1965,2,Tuscany,Red Blend,16
1966,2,Tuscany,Sauvignon Blanc,13
1967,4,California,Pinot Noir,58
1969,3,California,Chardonnay,23
1970,2,California,Pinot Noir,42
1971,3,Victoria,Chardonnay,35
1972,3,Stellenbosch,Cabernet Sauvignon,41
1975,1,New York,Chardonnay,13
1978,4,California,Cabernet Sauvignon,100
1979,3,Oregon,Pinot Noir,48
1980,3,Washington,Red Blend,20
1981,2,Burgundy,Pinot Noir,17
1984,2,California,Sauvignon Blanc,18
1988,3,California,Chardonnay,30
1989,3,Maipo Valley,Chardonnay,15
1993,3,California,Red Blend,20
2001,2,California,Sauvignon Blanc,30
2002,2,California,Pinot Noir,45
2009,2,California,Sauvignon Blanc,14
2011,2,Piedmont,Chardonnay,15
2015,2,California,Chardonnay,16
2019,2,California,Sauvignon Blanc,20
2020,3,California,Cabernet Sauvignon,65
2024,3,Thermenregion,Pinot Noir,26
2029,3,Burgundy,Chardonnay,40
2032,4,California,Cabernet Sauvignon,75
2033,2,California,Chardonnay,42
2035,4,California,Sauvignon Blanc,26
2036,3,Washington,Red Blend,25
2037,4,California,Cabernet Sauvignon,62
