,points,province,variety,price
113,4,California,Merlot,85.0
114,2,California,Red Blend,32.0
115,1,Maipo Valley,Sauvignon Blanc,12.0
116,3,California,Zinfandel,45.0
117,4,Oregon,Cabernet Franc-Merlot,80.0
118,2,Bordeaux,Bordeaux-style White Blend,24.0
119,2,Mendoza Province,Malbec-Cabernet Sauvignon,14.0
120,2,Rapel Valley,Carmenère,8.0
121,2,Washington,Syrah,30.0
122,3,California,Cabernet Sauvignon,29.0
123,2,Northeastern Italy,Pinot Grigio,10.0
124,2,Limarí Valley,Sauvignon Blanc,9.0
125,4,Rheingau,Riesling,365.0
126,3,Niederösterreich,Rosé,12.0
128,3,Southern Italy,Red Blend,90.0
129,2,Burgundy,Pinot Noir,47.0
130,2,Washington,Merlot,28.0
131,3,Washington,Cabernet Sauvignon,55.0
132,3,Mendoza Province,Malbec,18.0
133,4,California,Cabernet Sauvignon,125.0
135,4,Tuscany,Red Blend,56.0
137,2,Colchagua Valley,White Blend,17.0
138,3,California,Cabernet Sauvignon,40.0
139,3,Southern Italy,Greco,20.0
140,3,Southwest France,Red Blend,23.0
141,2,Mendoza Province,Bonarda,17.0
142,3,California,Cabernet Sauvignon,35.0
143,2,Mendoza Province,Malbec,38.0
144,4,Oregon,Pinot Noir,58.0
145,2,California,Bordeaux-style Red Blend,30.0
146,3,Washington,Chardonnay,14.0
147,4,Champagne,Champagne Blend,67.0
148,3,California,Chardonnay,24.0
150,2,Coastal Region,Shiraz,15.0
152,1,New Mexico,Red Blend,22.0
153,3,Tuscany,Red Blend,30.0
154,3,Colchagua Valley,Carmenère,40.0
155,2,Levante,Red Blend,20.0
156,3,Central Italy,Montepulciano,20.0
157,2,California,Chardonnay,15.0
158,2,Bordeaux,Bordeaux-style Red Blend,11.0
159,3,Burgenland,Blaufränkisch,43.0
160,3,Veneto,"Corvina, Rondinella, Molinara",75.0
161,3,Washington,Rosé,20.0
162,2,Virginia,Sparkling Blend,29.0
163,3,Northern Spain,Viura,45.0
164,2,California,Meritage,38.0
165,4,California,Grenache,28.0
166,2,Catalonia,Sparkling Blend,27.0
167,3,Washington,Syrah,22.0
168,3,Levante,Red Blend,19.0
169,1,California,Zinfandel,28.0
170,2,Tuscany,Sangiovese,64.0
171,2,Colchagua Valley,Merlot,10.0
172,3,Washington,Chardonnay,23.0
173,3,Alentejano,Portuguese Red,62.0
174,3,Levante,Garnacha,16.0
175,4,Loire Valley,Sauvignon Blanc,110.0
176,3,California,Zinfandel,40.0
177,2,Oregon,Chardonnay,24.0
178,3,California,Syrah,40.0
179,2,California,Merlot,30.0
180,4,Washington,Bordeaux-style Red Blend,48.0
181,2,Coastal Region,White Blend,35.0
182,3,Marlborough,Sauvignon Blanc,17.0
183,3,Washington,Malbec,30.0
184,4,Veneto,"Corvina, Rondinella, Molinara",60.0
185,2,Mendoza Province,Syrah,10.0
186,1,Northern Spain,Tempranillo,11.0
187,1,Other,Shiraz,11.0
188,3,California,Syrah,30.0
189,3,Oregon,Viognier,21.0
190,4,California,Zinfandel,30.0
192,4,Oregon,Pinot Noir,45.0
193,2,Hawke's Bay,Pinot Noir,22.0
194,4,Burgundy,Pinot Noir,69.0
195,3,Dão,Portuguese Red,10.0
196,2,Washington,Cabernet Sauvignon,18.0
198,1,Virginia,Chambourcin,18.0
199,4,Douro,Portuguese Red,50.0
200,3,Tuscany,Sangiovese,38.0
201,3,Bordeaux,Bordeaux-style White Blend,30.0
202,2,Stellenbosch,Sauvignon Blanc,18.0
203,3,California,Zinfandel,40.0
204,3,South Australia,Shiraz,24.0
205,3,Constantia,Shiraz,20.0
206,2,Washington,Viognier,24.0
207,3,California,Zinfandel,24.0
209,3,Northern Spain,Godello,19.0
210,2,Northeastern Italy,Pinot Grigio,22.0
211,2,California,Merlot,35.0
212,3,South Australia,Cabernet Sauvignon,20.0
213,2,Martinborough,Sauvignon Blanc,19.0
214,4,California,Zinfandel,52.0
215,2,California,Bordeaux-style Red Blend,65.0
217,2,California,Merlot,10.0
219,2,California,Rosé,18.0
220,2,Tuscany,Red Blend,17.0
221,3,South Australia,Rhône-style Red Blend,35.0
222,3,Oregon,Pinot Noir,50.0
223,2,Martinborough,Pinot Noir,25.0
224,3,Burgundy,Pinot Noir,40.0
225,1,California,Zinfandel,20.0
226,3,California,Syrah,23.0
227,3,Mendoza Province,Malbec,22.0
228,1,Central Spain,Tempranillo,9.0
230,2,Tuscany,Sangiovese,42.0
231,4,California,Chardonnay,38.0
232,2,California,Pinot Noir,38.0
233,3,Mosel,Riesling,32.0
234,4,California,Cabernet Sauvignon,55.0
235,1,Central Spain,Tempranillo,8.0
236,4,California,Cabernet Sauvignon,85.0
237,1,California,Pinot Noir,20.0
238,2,California,Syrah,25.0
239,2,Veneto,Red Blend,60.0
240,2,California,Merlot,35.0
241,3,South Australia,Merlot,60.0
242,2,Northern Spain,Tempranillo-Garnacha,8.0
243,1,Washington,Cabernet Sauvignon,35.0
244,4,California,Cabernet Sauvignon,60.0
245,3,California,Pinot Noir,33.0
246,2,Peljesac,Plavac Mali,16.0
247,2,Veneto,Glera,21.0
248,1,Uruguay,Tannat,30.0
249,1,California,Sauvignon Blanc,24.0
250,3,Wachau,Grüner Veltliner,36.0
251,2,Australia Other,White Blend,7.0
252,3,Provence,Rosé,35.0
253,3,California,Cabernet Sauvignon,50.0
254,2,California,Merlot,12.0
255,2,Mendoza Province,Bonarda,13.0
256,3,Burgundy,Pinot Noir,37.0
257,2,California,Syrah,38.0
258,2,Languedoc-Roussillon,Chardonnay,6.0
259,4,Hawke's Bay,Bordeaux-style Red Blend,60.0
260,4,California,Syrah,28.0
261,3,Stellenbosch,Merlot-Cabernet Sauvignon,22.0
262,2,Sicily & Sardinia,Grillo,7.0
263,3,California,Tempranillo,36.0
264,2,California,Petite Sirah,10.0
265,4,California,Chardonnay,65.0
266,2,California,Zinfandel,13.0
268,4,California,Chardonnay,28.0
269,2,California,Zinfandel,20.0
270,4,Washington,Bordeaux-style Red Blend,40.0
271,4,California,Pinot Noir,40.0
272,3,California,Cabernet Franc,65.0
273,3,Washington,Red Blend,20.0
274,2,Rapel Valley,Merlot,9.0
275,2,California,Chardonnay,43.0
276,2,Mendoza Province,Chardonnay,10.0
277,3,Piedmont,Nebbiolo,100.0
278,2,California,Pinot Noir,42.0
279,2,Mosel,Riesling,19.0
280,1,California,Red Blend,13.0
281,4,California,Merlot,75.0
282,2,California,Gewürztraminer,20.0
283,2,Maule Valley,Cabernet Sauvignon,16.0
284,2,California,Syrah,20.0
285,2,Oregon,Pinot Gris,16.0
286,3,Bordeaux,Bordeaux-style Red Blend,30.0
287,1,Mendoza Province,Petite Verdot,75.0
288,1,California,Zinfandel,19.0
289,3,Loire Valley,Melon,24.0
290,2,California,Cabernet Sauvignon,18.0
292,4,Tuscany,Red Blend,50.0
294,3,Rhône Valley,Rhône-style Red Blend,25.0
295,3,Washington,Malbec,49.0
296,2,Southern Italy,White Blend,24.0
297,2,Uruguay,Tannat,30.0
298,3,California,Pinot Noir,48.0
300,2,South Australia,Viognier,25.0
301,2,Washington,Chardonnay,17.0
303,3,Northern Spain,Tempranillo,26.0
304,3,Washington,Cabernet Sauvignon,50.0
305,3,California,Cabernet Sauvignon,44.0
306,4,Piedmont,Nebbiolo,75.0
307,3,Northern Spain,Tempranillo,31.0
310,3,Washington,Cabernet Sauvignon,45.0
311,2,Bordeaux,Bordeaux-style Red Blend,20.0
312,2,Negev Hills,Sauvignon Blanc,24.0
313,2,California,Cabernet Sauvignon,20.0
314,2,California,Zinfandel,34.0
315,3,Bordeaux,Bordeaux-style Red Blend,18.0
316,2,Estremadura,Chardonnay,13.0
317,3,California,Pinot Noir,52.0
319,3,Washington,Red Blend,24.0
320,3,South Australia,Bordeaux-style Red Blend,48.0
321,3,Champagne,Chardonnay,110.0
322,4,Alsace,Riesling,45.0
323,2,California,Merlot,25.0
324,3,Burgundy,Pinot Noir,32.0
325,3,Piedmont,Barbera,21.0
326,4,Martinborough,Pinot Noir,61.0
327,3,Southwest France,Red Blend,11.0
328,2,Northern Spain,Tempranillo,28.0
329,4,South Australia,Shiraz,120.0
330,3,Dão,Encruzado,20.0
331,3,Galicia,Albariño,15.0
332,2,New York,Sparkling Blend,29.0
333,4,Tuscany,Merlot,460.0
334,4,Burgundy,Pinot Noir,60.0
335,1,California,Syrah,20.0
336,3,California,Chardonnay,25.0
337,3,California,Pinot Noir,35.0
339,2,Bordeaux,Rosé,9.0
340,3,Western Cape,Red Blend,30.0
341,4,Tuscany,Sangiovese Grosso,55.0
342,2,Piedmont,Nebbiolo,56.0
343,3,Pfalz,Riesling,48.0
345,2,Tuscany,Vernaccia,24.0
346,1,Mendoza Province,Cabernet Sauvignon,18.0
347,4,California,Pinot Noir,56.0
348,2,Tuscany,Sangiovese,12.0
349,3,New York,Cabernet Franc,20.0
351,2,Niederösterreich,St. Laurent,27.0
352,3,Washington,Red Blend,33.0
353,4,California,Cabernet Sauvignon,40.0
354,2,Washington,Chardonnay,9.0
355,2,California,Sémillon,26.0
356,4,California,Chardonnay,32.0
357,4,California,Pinot Noir,75.0
358,3,Marlborough,Pinot Noir,29.0
359,3,California,Cabernet Sauvignon,48.0
360,2,Washington,Cabernet Sauvignon,15.0
362,1,Northern Spain,White Blend,11.0
363,2,Loire Valley,Sparkling Blend,19.0
364,4,California,Syrah,40.0
367,2,Northeastern Italy,Pinot Grigio,15.0
369,3,Loire Valley,Sauvignon Blanc,35.0
370,3,Hawke's Bay,Syrah,27.0
372,3,Washington,Bordeaux-style Red Blend,60.0
373,3,Champagne,Chardonnay,60.0
374,4,Tuscany,Sangiovese,95.0
375,4,California,Merlot,42.0
376,1,California,Barbera,28.0
378,4,California,Sauvignon Blanc,29.0
379,3,Leyda Valley,Sauvignon Blanc,23.0
380,3,Virginia,White Blend,30.0
381,3,Washington,Red Blend,45.0
382,2,Oregon,Pinot Gris,15.0
383,2,South Australia,Grenache,16.0
384,2,Western Cape,Red Blend,10.0
387,4,Mosel-Saar-Ruwer,Riesling,40.0
388,4,California,Bordeaux-style Red Blend,80.0
389,1,California,Chardonnay,14.0
390,3,California,Petite Sirah,59.0
391,2,New York,Chardonnay,14.0
392,2,Coastal Region,Pinotage,20.0
393,3,Victoria,Bordeaux-style Red Blend,95.0
394,2,Franken,Silvaner,61.0
395,3,Tuscany,Sangiovese Grosso,70.0
396,3,Victoria,Chardonnay,24.0
399,2,California,Zinfandel,32.0
400,3,Kamptal,Riesling,38.0
402,3,Vipavska Dolina,Cabernet Franc,35.0
404,3,Rhône Valley,Marsanne,30.0
405,3,Piedmont,Barbera,32.0
406,3,Virginia,Sauvignon Blanc,19.0
407,2,Maule Valley,Cabernet Sauvignon,10.0
409,3,Washington,Red Blend,33.0
410,1,Mendoza Province,Chardonnay,11.0
411,2,Languedoc-Roussillon,Rhône-style Red Blend,17.0
412,4,California,Cabernet Sauvignon,80.0
413,3,Washington,Cabernet Franc,30.0
414,2,California,Chardonnay,12.0
415,2,Champagne,Champagne Blend,50.0
416,3,Oregon,Pinot Noir,48.0
417,2,Curicó Valley,Chardonnay,19.0
418,3,South Australia,Cabernet Sauvignon,60.0
419,2,California,Mourvèdre,25.0
420,2,Catalonia,Rosé,6.0
421,4,South Australia,Shiraz,40.0
422,2,Maipo Valley,Syrah,17.0
423,2,Bordeaux,Bordeaux-style Red Blend,14.0
424,2,Shomron,Sauvignon Blanc,13.0
425,3,California,Pinot Noir,48.0
427,3,California,Riesling,25.0
428,3,Burgundy,Chardonnay,53.0
430,3,Oregon,Rosé,17.0
431,1,Virginia,Merlot,25.0
432,2,Mendoza Province,Bonarda,10.0
433,2,Central Valley,Sauvignon Blanc,8.0
434,2,Sicily & Sardinia,Syrah,16.0
435,3,Rhône Valley,Grenache-Syrah,22.0
436,2,Maipo Valley,Cabernet Sauvignon,18.0
437,2,Languedoc-Roussillon,Syrah-Grenache,11.0
438,2,New York,Red Blend,21.0
439,3,Mendoza Province,Malbec,25.0
440,2,California,Zinfandel,9.0
441,2,California,Sparkling Blend,22.0
442,2,Duriense,Alvarinho,20.0
443,3,Southwest France,Bordeaux-style Red Blend,40.0
444,2,Veneto,Garganega,23.0
445,2,Colchagua Valley,Chardonnay,10.0
446,3,Burgundy,Pinot Noir,46.0
447,2,Tuscany,Sangiovese Grosso,28.0
448,2,California,Zinfandel,14.0
449,3,Oregon,Pinot Noir,43.0
450,2,Bairrada,Portuguese Red,9.0
451,2,Victoria,Cabernet Sauvignon,60.0
452,2,Mendoza Province,Malbec,35.0
453,3,Western Australia,Chardonnay,27.0
454,1,California,Barbera,20.0
455,2,Northeastern Italy,Sauvignon,19.0
456,2,California,Merlot,42.0
457,3,South Australia,Shiraz-Cabernet Sauvignon,20.0
458,4,Bordeaux,Bordeaux-style Red Blend,80.0
459,2,Levante,Red Blend,13.0
460,4,California,Chardonnay,22.0
461,2,Oregon,Pinot Noir,20.0
463,3,Tuscany,Red Blend,49.0
464,4,California,Pinot Noir,45.0
465,2,Bío Bío Valley,Merlot,16.0
466,2,California,Cabernet Sauvignon,27.0
467,3,Mendoza Province,Torrontés,13.0
468,2,California,Cabernet Sauvignon,8.0
469,3,Tuscany,Sangiovese,55.0
470,1,California,Rhône-style Red Blend,12.0
471,1,Mendoza Province,Syrah,13.0
472,2,California,Petite Verdot,30.0
473,1,Northeastern Italy,Pinot Grigio,10.0
474,2,Tuscany,Sangiovese,26.0
475,1,Northern Spain,Garnacha,12.0
476,4,Burgenland,Austrian Red Blend,35.0
477,3,South Australia,Cabernet Sauvignon,20.0
478,4,Tuscany,Red Blend,150.0
479,2,California,Port,30.0
480,3,Oregon,Pinot Gris,20.0
482,2,Mendoza Province,Cabernet Sauvignon,14.0
483,4,Rhône Valley,Syrah,175.0
484,3,Lombardy,Chardonnay,33.0
485,3,Levante,Cabernet Blend,142.0
486,3,Alentejo,Portuguese Red,70.0
487,4,California,Cabernet Sauvignon,75.0
489,3,Kremstal,St. Laurent,35.0
490,3,California,Merlot,36.0
491,2,Tuscany,Red Blend,45.0
492,3,California,Cabernet Sauvignon-Merlot,52.0
493,2,Juanico,Viognier,15.0
494,4,Sicily & Sardinia,Cabernet Sauvignon,60.0
495,2,Colchagua Valley,White Blend,10.0
496,4,California,Merlot,85.0
497,2,Northeastern Italy,Pinot Grigio,14.0
498,2,Colchagua Valley,Red Blend,16.0
499,1,Northern Spain,Verdejo,13.0
500,4,Stellenbosch,Chenin Blanc,65.0
501,3,Washington,Chardonnay,25.0
502,3,Tuscany,Red Blend,25.0
503,2,Southern Italy,Primitivo,9.0
504,2,South Australia,Pinot Grigio,19.0
505,2,Korčula,Posip,24.0
506,2,California,Pinot Noir,48.0
507,2,California,Muscat Canelli,17.0
508,3,Maipo Valley,Cabernet Sauvignon,20.0
509,1,Northern Spain,Verdejo,13.0
510,3,Andalucia,Sherry,15.0
511,2,Mendoza Province,Malbec,14.0
512,4,California,Cabernet Sauvignon,42.0
513,2,Washington,Syrah,16.0
515,3,South Australia,Cabernet Sauvignon,20.0
516,1,Marlborough,Pinot Noir,33.0
517,2,Maipo Valley,Pinot Noir,12.0
518,3,Rhône Valley,Muscat,29.0
519,2,California,Pinot Noir,18.0
520,1,California,Cabernet Sauvignon,12.0
521,4,Wachau,Grüner Veltliner,68.0
523,4,Tuscany,Merlot,300.0
524,3,Marlborough,Sauvignon Blanc,24.0
525,2,Mendoza Province,Merlot,15.0
526,3,South Australia,Chardonnay,15.0
527,1,Shomron,Petite Sirah,9.0
529,2,Central Italy,Sangiovese,33.0
530,4,Burgundy,Chardonnay,55.0
531,2,Mendoza Province,Malbec,10.0
532,2,America,Petite Sirah,18.0
533,2,Northeastern Italy,Pinot Grigio,13.0
534,2,Mendoza Province,Torrontés,10.0
535,1,California,Zinfandel,19.0
536,4,Washington,Merlot,28.0
538,2,California,Cabernet Sauvignon,100.0
539,4,Oregon,Bordeaux-style Red Blend,36.0
540,1,Tuscany,Sangiovese,12.0
542,3,Oregon,Pinot Noir,50.0
544,3,New York,Riesling,18.0
545,1,California,Sangiovese,20.0
546,3,Washington,Cabernet Franc,30.0
547,2,Southwest France,Malbec-Merlot,18.0
548,3,Champagne,Chardonnay,72.0
549,4,South Australia,Shiraz,24.0
550,2,Pfalz,Gewürztraminer,11.0
552,3,California,Cabernet Sauvignon,55.0
553,4,California,Chardonnay,28.0
554,2,California,Syrah,50.0
555,2,Washington,Cabernet Sauvignon,8.0
556,4,California,Cabernet Sauvignon,42.0
558,3,California,Pinot Noir,45.0
559,3,California,Cabernet Sauvignon,38.0
560,2,Douro,Portuguese Red,13.0
561,3,California,Sauvignon Blanc,15.0
563,1,California,Zinfandel,10.0
564,2,Nahe,Riesling,19.0
565,2,Washington,Chardonnay,14.0
566,2,Northern Spain,Tinto del Pais,10.0
567,4,California,Cabernet Sauvignon,75.0
568,2,New South Wales,Chardonnay,13.0
569,3,California,Red Blend,50.0
570,2,Marlborough,Riesling,17.0
571,3,Loire Valley,Cabernet Franc,24.0
572,4,Kamptal,Grüner Veltliner,38.0
573,3,Sicily & Sardinia,Red Blend,40.0
574,1,Northern Spain,Tempranillo-Garnacha,13.0
575,2,Washington,Tempranillo,18.0
577,4,California,Cabernet Sauvignon,85.0
578,4,Washington,Semillon-Sauvignon Blanc,21.0
579,1,California,Chardonnay,7.0
580,2,Tuscany,Sangiovese,13.0
581,1,California,Syrah,30.0
582,3,California,Pinot Gris,18.0
583,2,Mendoza Province,Torrontés,10.0
584,2,California,Syrah,28.0
585,3,Washington,Sauvignon Blanc,10.0
586,3,Provence,Rosé,25.0
588,3,Rheinhessen,Riesling,47.0
589,2,California,Pinot Noir,35.0
590,2,Southwest France,Rosé,12.0
591,2,Veneto,Glera,20.0
592,3,Provence,Rosé,12.0
594,2,Galilee,Shiraz,23.0
595,2,California,Zinfandel,11.0
596,3,South Australia,Syrah,75.0
597,2,Washington,Cabernet Franc,28.0
598,3,California,Cabernet Franc,21.0
599,2,Nelson,Chardonnay,17.0
600,2,Virginia,Chardonnay,18.0
601,2,California,Cabernet Sauvignon,14.0
602,1,Catalonia,Red Blend,22.0
603,3,Marlborough,Chardonnay,15.0
604,4,Franschhoek,Cabernet Sauvignon,46.0
605,2,Washington,Petite Sirah,26.0
606,3,California,Sauvignon Blanc,13.0
607,2,California,Grüner Veltliner,15.0
608,2,Piedmont,Cortese,22.0
609,1,New South Wales,Shiraz,20.0
610,3,Oregon,Pinot Noir,35.0
611,2,Northern Spain,Garnacha,8.0
612,3,California,Pinot Grigio,15.0
613,3,British Columbia,Merlot,145.0
614,1,California,Viognier,13.0
615,3,Oregon,Pinot Noir,37.0
617,2,Bordeaux,Bordeaux-style Red Blend,21.0
618,3,California,Rhône-style White Blend,25.0
619,3,California,Cabernet Sauvignon,65.0
620,3,California,Cabernet Sauvignon,100.0
621,2,Oregon,Pinot Noir,45.0
622,4,California,Zinfandel,36.0
624,2,California,Grenache,42.0
625,2,California,Shiraz,25.0
626,3,Southern Italy,Aglianico,16.0
628,3,Marlborough,Sauvignon Blanc,24.0
629,3,California,Chardonnay,50.0
630,3,Alentejo,Portuguese Red,15.0
633,2,Cachapoal Valley,Carmenère,13.0
634,3,Washington,Red Blend,35.0
635,3,Oregon,Pinot Noir,100.0
636,3,Provence,Rhône-style Red Blend,32.0
637,4,Tuscany,Sangiovese,70.0
638,2,Wachau,Chardonnay,30.0
639,2,California,Pinot Noir,35.0
640,2,California,Sangiovese,18.0
641,2,Colchagua Valley,Viognier,15.0
642,4,Tuscany,Sangiovese,45.0
643,4,California,Bordeaux-style Red Blend,125.0
644,2,Southern Italy,Falanghina,18.0
645,2,California,Sauvignon Blanc,18.0
647,3,Rhône Valley,Rhône-style Red Blend,45.0
648,3,Alentejano,Syrah,24.0
649,1,Washington,Sangiovese,28.0
650,1,California,Red Blend,20.0
651,2,Oregon,Pinot Noir,19.0
652,1,California,Zinfandel,13.0
653,4,California,Bordeaux-style Red Blend,135.0
654,2,Tuscany,Sangiovese,15.0
655,3,California,Cabernet Franc,24.0
656,2,Languedoc-Roussillon,Muscat,26.0
657,3,California,Zinfandel,19.0
659,2,South Australia,Shiraz-Cabernet Sauvignon,14.0
660,3,Piedmont,Barbera,32.0
661,2,Veneto,Glera,20.0
662,3,California,Meritage,50.0
663,3,Tuscany,Red Blend,45.0
665,3,South Australia,Cabernet Sauvignon,17.0
667,2,Washington,Red Blend,20.0
668,2,California,Sangiovese,28.0
669,3,South Australia,Cabernet Sauvignon,22.0
670,3,California,Cabernet Sauvignon,80.0
671,1,Galicia,Albariño,20.0
673,2,California,Sauvignon Blanc,21.0
674,2,Burgundy,Pinot Noir,29.0
675,3,Washington,Mourvèdre,39.0
676,1,California,Lagrein,30.0
677,2,Southern Italy,Aglianico,16.0
678,3,Mosel,Riesling,64.0
679,2,California,Cabernet Sauvignon,55.0
680,2,France Other,Sparkling Blend,13.0
681,4,Tuscany,Sangiovese,40.0
682,3,Burgundy,Pinot Noir,68.0
683,2,Texas,Sauvignon Blanc,8.0
684,4,Champagne,Champagne Blend,211.0
685,3,Washington,Pinot Gris,12.0
686,2,California,Pinot Noir,30.0
687,2,California,Chardonnay,23.0
688,3,Tuscany,Sangiovese,19.0
690,3,Tuscany,Merlot,110.0
691,4,Tuscany,White Blend,82.0
692,3,Sicily & Sardinia,Red Blend,22.0
693,3,Champagne,Champagne Blend,40.0
694,2,Burgundy,Chardonnay,25.0
695,3,Northern Spain,Tempranillo Blend,46.0
696,3,Stellenbosch,Bordeaux-style Red Blend,30.0
697,3,Bordeaux,Bordeaux-style Red Blend,40.0
698,2,Northeastern Italy,Pinot Grigio,19.0
700,2,California,Pinot Noir,42.0
701,3,Northern Spain,Tempranillo,34.0
702,1,California,Chardonnay,15.0
703,4,California,Pinot Noir,54.0
704,5,California,Bordeaux-style Red Blend,275.0
705,3,Washington,Red Blend,45.0
706,1,Alsace,Pinot Gris,15.0
707,2,California,Zinfandel,28.0
708,4,Mendoza Province,Malbec,95.0
709,4,Douro,Portuguese Red,23.0
711,4,Languedoc-Roussillon,Rhône-style Red Blend,75.0
712,2,Oregon,Pinot Noir,35.0
713,3,Oregon,Chardonnay,35.0
714,3,Tuscany,Red Blend,16.0
716,2,Washington,Syrah,15.0
718,2,California,Zinfandel,16.0
719,2,Tuscany,Red Blend,19.0
720,2,California,Chardonnay,13.0
721,2,California,Pinot Noir,23.0
724,2,Colchagua Valley,Carmenère,12.0
725,2,Burgundy,Pinot Noir,30.0
726,3,California,Cabernet Sauvignon,55.0
728,3,Oregon,Pinot Noir,39.0
729,2,Languedoc-Roussillon,Rhône-style Red Blend,15.0
730,4,Mosel-Saar-Ruwer,Riesling,56.0
731,2,Tuscany,Red Blend,17.0
732,4,Tuscany,Red Blend,56.0
733,3,California,Bordeaux-style Red Blend,50.0
734,3,Piedmont,Nebbiolo,75.0
735,3,Aconcagua Costa,Sauvignon Blanc,22.0
736,3,Washington,Grenache,27.0
737,2,Port,Port,16.0
738,3,Southwest France,Bordeaux-style Red Blend,17.0
739,3,Greece,Red Blend,43.0
740,3,South Australia,Shiraz,64.0
741,4,California,Cabernet Sauvignon,42.0
743,1,California,Sauvignon Blanc,15.0
744,3,America,Bordeaux-style Red Blend,35.0
745,2,Victoria,Riesling,20.0
747,3,Tuscany,Red Blend,25.0
748,2,California,Cabernet Sauvignon,60.0
749,4,Champagne,Chardonnay,150.0
750,4,Tuscany,Red Blend,50.0
751,2,New York,Bordeaux-style Red Blend,55.0
752,3,South Australia,Chardonnay,15.0
753,3,Cederberg,Bukettraube,18.0
755,3,Languedoc-Roussillon,Rhône-style Red Blend,19.0
