,points,province,variety,price
797,2,California,Zinfandel,10
798,2,Washington,Cabernet Sauvignon,20
800,4,California,Petite Sirah,45
801,3,California,Syrah,40
804,2,California,Bordeaux-style Red Blend,40
806,4,Washington,Bordeaux-style Red Blend,75
811,4,Tuscany,Sangiovese Grosso,60
812,2,California,Port,39
813,2,NorthernSpain,Rosé,12
815,3,California,Sauvignon Blanc,23
816,2,California,Pinot Noir,25
819,3,Washington,Merlot,45
820,2,Bordeaux,Bordeaux-style White Blend,12
824,3,California,Syrah,54
826,3,California,Bordeaux-style Red Blend,48
827,2,Tuscany,Sangiovese,24
828,3,Washington,Merlot,25
830,3,California,Cabernet Sauvignon,150
831,4,Tuscany,Red Blend,30
832,4,California,Cabernet Sauvignon,95
834,2,NorthernSpain,Tempranillo Blend,40
835,2,California,Pinot Noir,48
839,3,Tuscany,Cabernet Sauvignon,50
840,2,California,Cabernet Sauvignon,35
842,3,California,Pinot Noir,32
843,3,California,Chardonnay,22
845,3,NorthernSpain,Tinto del Pais,77
850,4,Tuscany,Red Blend,25
851,1,California,Pinot Noir,22
860,3,Washington,Red Blend,36
861,2,Tuscany,Red Blend,60
862,2,Tuscany,Sangiovese Grosso,55
863,2,Bordeaux,Bordeaux-style Red Blend,8
865,3,Tuscany,Sangiovese,12
866,3,NorthernSpain,Mencía,22
869,1,California,Grenache,25
870,2,California,Pinot Noir,57
871,2,California,Zinfandel,24
873,4,Tuscany,White Blend,47
874,3,NorthernSpain,Tempranillo Blend,26
878,4,California,Sparkling Blend,80
880,3,California,Pinot Noir,55
882,2,California,Zinfandel,27
884,2,California,Riesling,9
888,3,NorthernSpain,Mencía,22
890,4,California,Bordeaux-style Red Blend,60
891,2,California,Zinfandel,25
896,1,California,Sauvignon Blanc,18
897,4,Tuscany,Red Blend,45
904,2,California,Pinot Grigio,10
906,1,California,Tempranillo,12
907,1,Bordeaux,Bordeaux-style Red Blend,29
908,2,Tuscany,Sangiovese,20
909,3,Washington,Pinot Gris,13
912,4,California,Chardonnay,50
914,3,California,Red Blend,18
917,1,California,Chardonnay,35
919,2,California,Chardonnay,35
920,4,California,Chardonnay,38
921,2,NorthernSpain,Tempranillo,14
924,2,California,Petite Sirah,15
925,2,California,Sauvignon Blanc,28
927,2,California,Sauvignon Blanc,20
929,1,NorthernSpain,Verdejo,15
933,4,California,Cabernet Sauvignon,75
934,2,California,Chardonnay,14
936,3,California,Zinfandel,18
937,4,California,Bordeaux-style Red Blend,50
939,2,California,G-S-M,28
942,4,California,Rhône-style White Blend,20
945,3,Washington,Merlot,20
946,4,California,Cabernet Sauvignon,25
948,1,California,Zinfandel,18
951,4,California,Cabernet Sauvignon,105
956,2,California,Pinot Noir,18
964,2,California,Primitivo,24
965,2,California,Chardonnay,11
967,2,California,Zinfandel,15
969,2,California,Pinot Noir,60
971,2,California,Chardonnay,25
972,1,California,Rhône-style Red Blend,25
973,2,Tuscany,Sangiovese,17
976,3,Washington,Cabernet Sauvignon,16
977,2,Washington,Chardonnay,15
978,2,California,White Blend,13
979,2,California,Chardonnay,11
982,3,California,Viognier,20
984,4,Tuscany,Petit Verdot,55
985,1,Washington,Sparkling Blend,11
987,3,Washington,Cabernet Sauvignon,27
988,4,Washington,Petit Verdot,38
989,3,Washington,Syrah,29
990,4,California,Pinot Noir,70
993,3,Washington,Petit Verdot,30
994,3,Washington,Sangiovese,50
997,3,California,Sparkling Blend,19
1003,1,NorthernSpain,White Blend,9
1004,4,California,Zinfandel,55
1006,2,California,Pinot Meunier,20
1008,2,California,Pinot Noir,13
1010,4,Washington,Grenache,28
1015,2,California,Zinfandel,36
1016,2,California,Port,28
1018,2,California,Grenache,34
1021,2,NorthernSpain,Tempranillo Blanco,24
1022,2,California,Pinot Noir,42
1025,3,Tuscany,Red Blend,25
1028,3,California,White Blend,12
1030,3,California,Chardonnay,35
1032,2,California,Moscato,12
1034,4,California,Pinot Noir,47
1036,2,California,Cabernet Sauvignon,8
1039,2,California,Petite Sirah,27
1040,2,California,Viognier,25
1041,2,California,Zinfandel,12
1043,4,Tuscany,Merlot,90
1046,1,Washington,Sangiovese,19
1047,2,California,Cabernet Sauvignon-Syrah,45
1048,3,California,Black Monukka,25
1051,4,Washington,Bordeaux-style Red Blend,50
1052,4,California,Chardonnay,85
1054,1,California,Rosé,10
1056,2,California,Sauvignon Blanc,22
1059,5,California,Pinot Noir,78
1061,3,California,Chardonnay,32
1062,4,Tuscany,Sangiovese Grosso,72
1063,2,California,Sauvignon Blanc,35
1064,4,Washington,Bordeaux-style Red Blend,43
1070,3,Washington,Cabernet Sauvignon,52
1071,1,California,Chardonnay,20
1074,3,Washington,Red Blend,18
1076,3,California,Pinot Noir,60
1077,1,California,Sauvignon Blanc,37
1078,3,Washington,Red Blend,45
1079,3,Washington,Merlot,50
1080,3,Washington,Tempranillo,25
1085,2,California,Chardonnay,32
1088,4,California,Chardonnay,50
1089,3,California,Red Blend,32
1090,2,California,Cabernet Sauvignon,32
1097,2,Bordeaux,Bordeaux-style Red Blend,90
1098,4,California,Cabernet Sauvignon,60
1100,2,California,Pinot Noir,30
1101,4,California,Pinot Noir,57
1103,2,Washington,Red Blend,32
1105,2,Tuscany,Red Blend,23
1108,3,California,Pinot Noir,40
1110,2,California,Syrah,25
1111,2,California,Chardonnay,19
1112,2,California,Pinot Noir,20
1113,1,California,Zinfandel,25
1115,3,NorthernSpain,Cabernet Sauvignon-Merlot,14
1118,2,California,Cabernet Sauvignon,34
1120,2,California,Pinot Noir,28
1123,2,California,Pinot Noir,50
1125,4,Washington,Petit Verdot,39
1127,3,California,Red Blend,35
1128,4,California,Pinot Noir,18
1132,1,California,Red Blend,16
1133,2,California,Sauvignon Blanc,10
1134,2,California,Chardonnay,15
1136,2,California,Cabernet Sauvignon,10
1139,2,California,Petit Verdot,25
1141,3,Tuscany,Red Blend,36
1144,3,California,Chardonnay,30
1146,2,Tuscany,Sangiovese,23
1149,2,California,Malvasia Bianca,18
1150,1,California,Zinfandel,25
1152,4,California,Pinot Noir,60
1154,4,California,Pinot Noir,45
1155,4,California,Cabernet Sauvignon,100
1156,2,California,Cabernet Sauvignon,8
1157,1,California,Cabernet Sauvignon,75
1161,3,California,Sparkling Blend,24
1162,3,California,Zinfandel,45
1168,2,California,Chardonnay,16
1179,3,California,Cabernet Sauvignon,40
1180,2,California,Chardonnay,36
1181,2,California,Muscat Canelli,11
1183,3,California,Pinot Noir,78
1185,4,California,Chardonnay,65
1186,3,Washington,Riesling,13
1187,4,California,Cabernet Sauvignon,75
1188,2,California,Pinot Noir,25
1191,3,Washington,Cabernet Sauvignon,40
1192,2,California,Red Blend,10
1196,2,Tuscany,Red Blend,25
1198,2,Washington,Red Blend,13
1204,2,California,Pinot Noir,32
1208,2,California,Merlot,14
1213,2,California,Syrah,27
1214,2,California,Pinot Noir,30
1216,3,NorthernSpain,Red Blend,24
1217,2,California,Meritage,80
1218,3,Tuscany,Red Blend,15
1219,2,Washington,Rhône-style Red Blend,25
1223,2,Washington,Cabernet Sauvignon,30
1224,2,California,Pinot Noir,40
1225,3,California,Chardonnay,50
1226,3,California,Barbera,18
1228,3,Washington,Syrah,25
1229,3,California,Chardonnay,45
1231,2,California,Pinot Gris,16
1233,2,California,Cabernet Sauvignon,48
1236,2,California,Cabernet Sauvignon,40
1237,2,Tuscany,Rosé,15
1239,2,Washington,Syrah,50
1240,2,California,Viognier,26
1241,2,NorthernSpain,Rosé,14
1242,2,NorthernSpain,Red Blend,22
1245,3,California,Zinfandel,35
1247,3,Washington,Claret,20
1248,1,California,Malbec,55
1249,3,California,Syrah,18
1251,1,NorthernSpain,Tempranillo Blend,225
1254,2,California,Pinot Noir,30
1255,2,NorthernSpain,Garnacha,8
1256,2,Tuscany,Sangiovese,13
1258,3,California,Cabernet Sauvignon,70
1259,4,California,Zinfandel,30
1261,3,California,Roussanne,25
1262,3,California,Zinfandel,30
1265,2,Tuscany,Sauvignon Blanc,13
1266,3,California,Cabernet Sauvignon,50
1267,2,California,Cabernet Merlot,8
1268,4,Washington,Cabernet Sauvignon,40
1271,3,California,Sémillon,13
1272,3,NorthernSpain,Tempranillo,59
1273,4,California,Cabernet Sauvignon-Malbec,100
1274,3,Washington,Syrah,37
1277,2,California,Merlot,10
1278,3,California,Pinot Noir,42
1283,3,California,Syrah,32
1284,3,California,Chardonnay,35
1285,2,California,Riesling,13
1286,2,NorthernSpain,Garnacha,12
1287,3,California,Cabernet Sauvignon,30
1289,4,California,Pinot Noir,58
1293,3,Washington,Cabernet Sauvignon,30
1300,4,California,Pinot Noir,38
1301,2,Tuscany,Sangiovese,39
1302,2,Washington,Cabernet Sauvignon,18
1304,2,California,G-S-M,40
1305,2,California,Rhône-style White Blend,23
1306,3,California,Zinfandel,40
1307,4,Washington,Mourvèdre,42
1311,1,California,Zinfandel,25
1312,3,California,Charbono,38
1313,2,California,Zinfandel,18
1314,2,California,Bordeaux-style White Blend,28
1320,4,California,Chardonnay,39
1323,4,Washington,Chardonnay,32
1324,2,California,Cabernet Sauvignon,20
1325,4,Tuscany,Sangiovese Grosso,120
1326,2,NorthernSpain,Verdejo,15
1329,2,California,Zinfandel,18
1332,2,California,Cabernet Sauvignon,40
1334,2,California,Merlot,13
1335,3,Tuscany,Sangiovese Grosso,55
1340,3,California,Petite Sirah,48
1342,3,California,Pinot Noir,30
1343,1,California,Syrah,30
1347,3,Washington,Cabernet Franc,18
1351,2,California,Merlot,30
1352,1,California,Chardonnay,20
1358,2,California,Cabernet Sauvignon,38
1363,3,California,Pinot Noir,30
1372,3,California,Chardonnay,35
1373,2,California,Zinfandel,23
1375,3,NorthernSpain,Verdejo,35
1379,3,California,Pinot Noir,39
1380,3,NorthernSpain,Tempranillo Blend,14
1381,4,California,Cabernet Sauvignon,125
1382,2,California,Zinfandel,24
1383,2,California,Cabernet Sauvignon,25
1384,2,Washington,Cabernet Sauvignon,28
1385,1,California,Zinfandel,32
1386,2,Bordeaux,Bordeaux-style Red Blend,19
1389,1,California,Pinot Grigio,19
1390,5,Bordeaux,Bordeaux-style Red Blend,175
1391,2,California,Orange Muscat,24
1397,3,California,Merlot,25
1398,4,California,Cabernet Sauvignon,125
1400,3,NorthernSpain,Mencía,55
1407,3,California,Cabernet Sauvignon,54
1413,1,California,Touriga Nacional,23
1414,2,Washington,Grenache,24
1419,4,California,Chardonnay,40
1420,2,California,Cabernet Sauvignon,22
1421,1,California,Meritage,35
1423,3,Tuscany,Cabernet Franc,70
1424,2,California,Vermentino,13
1426,4,California,Cabernet Franc,65
1428,1,California,Merlot,25
1432,3,California,Cabernet Sauvignon,20
1433,3,California,Syrah,18
1435,4,California,Chardonnay,25
1436,2,California,Cabernet Sauvignon,10
1438,2,California,Pinot Noir,20
1439,2,California,Pinot Noir,20
1440,3,NorthernSpain,Tinta de Toro,30
1443,3,Bordeaux,Bordeaux-style Red Blend,13
1445,2,California,Zinfandel,32
1447,3,California,Zinfandel,40
1448,3,California,Pinot Noir,56
1450,4,California,Cabernet Sauvignon,58
1451,2,California,Syrah,35
1455,3,California,Chardonnay,45
1456,1,California,Zinfandel,7
1457,2,California,Merlot,14
1458,5,Washington,Syrah,120
1460,4,California,Zinfandel,35
1466,2,California,Pinot Noir,30
1471,4,California,Bordeaux-style Red Blend,135
1475,3,NorthernSpain,Tempranillo,50
1477,3,California,Cabernet Sauvignon,13
1478,3,California,Zinfandel,38
1480,2,California,Cabernet Sauvignon,10
1482,2,California,Chardonnay,20
1485,4,California,Pinot Noir,54
1489,2,California,Chardonnay,8
1491,4,Tuscany,Syrah,65
1492,3,California,Chardonnay,32
1498,4,NorthernSpain,Tempranillo,46
1502,1,California,Syrah,10
1504,2,California,Zinfandel,12
1508,4,California,Syrah,40
1509,2,California,Cabernet Sauvignon,15
1512,2,California,Cabernet Sauvignon,18
1517,3,Washington,Viognier,20
1518,2,California,Pinot Grigio,11
1520,3,Bordeaux,Bordeaux-style Red Blend,22
1521,2,Tuscany,Sangiovese Grosso,55
1523,3,NorthernSpain,Godello,18
1525,4,NorthernSpain,Tempranillo,44
1527,4,California,Pinot Noir,52
1529,3,California,Sauvignon Blanc,18
1530,2,California,Pinot Blanc,13
1531,3,California,Red Blend,25
1536,2,California,Zinfandel,20
1539,3,California,Cabernet Sauvignon,70
1540,1,California,Sauvignon Blanc,15
1541,2,NorthernSpain,Tempranillo,15
1545,4,California,Rhône-style Red Blend,40
1546,3,NorthernSpain,Mencía,55
1547,2,California,Rhône-style Red Blend,50
1548,3,Bordeaux,Bordeaux-style Red Blend,19
1551,4,California,Pinot Noir,60
1553,1,NorthernSpain,Sauvignon Blanc,10
1555,2,California,Shiraz,7
1556,2,California,Chardonnay,10
1559,3,Washington,Viognier,18
1560,3,California,Pinot Noir,37
1561,1,NorthernSpain,Red Blend,13
1569,3,Washington,Red Blend,35
1570,3,California,Cabernet Sauvignon,35
1571,1,California,Cabernet Sauvignon,11
1572,1,NorthernSpain,Tempranillo,17
1573,3,Washington,Red Blend,13
1575,1,Washington,Pinot Noir,11
1577,3,California,Chardonnay,25
1579,4,California,Chardonnay,42
1581,2,California,Merlot,75
1583,3,NorthernSpain,Tempranillo Blend,42
1586,2,California,Pinot Noir,40
1588,3,Tuscany,White Blend,60
1589,3,California,Pinot Noir,40
1592,1,California,Zinfandel,10
1593,4,Tuscany,Sangiovese Grosso,47
1595,2,California,Red Blend,13
1600,4,California,Rhône-style Red Blend,42
1604,2,California,Chenin Blanc,16
1605,1,California,Cabernet Sauvignon,21
1606,2,California,Pinot Noir,60
1607,3,Washington,Syrah,40
1608,4,California,Pinot Noir,30
1610,3,California,Syrah,55
1617,3,California,Cabernet Franc,20
1619,2,Bordeaux,Bordeaux-style Red Blend,30
1620,2,California,Cabernet Sauvignon,25
1622,3,California,Zinfandel,48
1623,4,Washington,Riesling,20
1626,2,California,Chardonnay,32
1631,2,California,Merlot,35
1634,1,California,Sauvignon Blanc,18
1635,2,Washington,Merlot,21
1637,1,NorthernSpain,White Blend,9
1641,3,California,Pinot Noir,38
1643,3,NorthernSpain,Tempranillo Blend,42
1644,3,Washington,Bordeaux-style Red Blend,18
1645,3,California,Sauvignon Blanc,40
1647,3,California,Cabernet Sauvignon,50
1648,2,Washington,Cabernet Sauvignon,28
1649,3,California,Sparkling Blend,32
1654,2,California,Sauvignon Blanc,22
1656,3,California,Pinot Noir,45
1657,2,California,Marsanne,19
1658,2,California,Shiraz,9
1661,2,California,Pinot Blanc,24
1663,2,California,Chardonnay,26
1664,4,California,Cabernet Sauvignon,75
1668,2,California,Cabernet Franc,46
1669,2,California,Pinot Noir,15
1670,3,Bordeaux,Bordeaux-style Red Blend,45
1674,2,California,Merlot,13
1676,2,California,Chardonnay,30
1677,3,California,Cabernet Sauvignon,95
1679,2,California,Red Blend,9
1682,1,California,Sauvignon Blanc,22
1685,2,Tuscany,Syrah,16
1686,4,California,Cabernet Sauvignon,60
1688,2,California,Rhône-style Red Blend,18
1691,2,California,Chardonnay,38
1693,2,California,Chardonnay,35
1695,2,California,Moscato,25
1696,2,California,Merlot,65
1700,1,Bordeaux,Bordeaux-style Red Blend,14
1703,2,California,Pinot Noir,22
1704,2,California,Chardonnay,19
1706,2,California,Sparkling Blend,13
1708,2,California,Zinfandel,28
1709,2,California,Chardonnay,30
1710,2,NorthernSpain,Tempranillo,28
1714,3,California,Chardonnay,33
1717,4,California,Pinot Noir,64
1723,4,California,Pinot Noir,49
1725,2,Washington,Sparkling Blend,11
1727,3,Washington,Cabernet Sauvignon,35
1728,4,California,Pinot Noir,90
1732,2,California,Malbec,32
1739,2,California,Red Blend,14
1743,1,California,Zinfandel,40
